onset	duration	trial_type	value	sample
12.66	3.0	10.00	1	3165
23.632	3.0	7.50	4	5908
34.64	3.0	8.57	5	8660
45.616	3.0	12.00	2	11404
56.64	3.0	6.66	3	14160
67.616	3.0	7.50	4	16904
78.572	3.0	12.00	2	19643
89.612	3.0	10.00	1	22403
100.604	3.0	7.50	4	25151
111.58	3.0	8.57	5	27895
122.64	3.0	6.66	3	30660
133.596	3.0	12.00	2	33399
184.0	3.0	10.00	1	46000
194.992	3.0	8.57	5	48748
205.964	3.0	7.50	4	51491
216.94	3.0	10.00	1	54235
227.98	3.0	6.66	3	56995
238.972	3.0	7.50	4	59743
249.948	3.0	12.00	2	62487
260.956	3.0	8.57	5	65239
271.98	3.0	10.00	1	67995
282.972	3.0	6.66	3	70743
293.996	3.0	8.57	5	73499
304.936	3.0	6.66	3	76234
315.996	3.0	8.57	5	78999
